id,term,instructors
2311,20W,"[""Pfluegl, G."",""Cao, Z.""]"
1161,20W,"[""Martirosyan, H.K.""]"
2915,20W,"[""Firstenberg, I.""]"
2174,20W,"[""The Staff""]"
3282,20W,"[""van Delden, M.H.""]"
4904,20W,"[""Kareiva, P.M.""]"
790,20W,"[""Barminski, W.J.""]"
962,20W,"[""Rensel, M.A."",""Lee, R.C."",""Vaughn, R.A."",""Panofsky, A.L.""]"
4428,20W,"[""Park, H.""]"
1188,20W,"[""Seltzer, M.I.""]"
1574,20W,"[""Metzger, S.A.""]"
149,20W,"[""Gomez, F.""]"
5402,20W,"[""Caswell, M.L.""]"
3358,20W,"[""Anderson, D.P."",""Bastos Do Nascimen"",""Mallampalli, D."",""Tran, D.K.""]"
3628,20W,"[""Burke, J.A.""]"
1002,20W,"[""Koopman, H.""]"
3672,20W,"[""Ong, P.M.""]"
3205,20W,"[""Kim-Farley, R.J.""]"
730,20W,"[""Patitsas, N.D.""]"
1323,20W,"[""Rensel, M.A."",""Schlinger, B.""]"
2968,20W,"[""No instructors""]"
699,20W,"[""Moio, J.A.""]"
358,20W,"[""Groeling, T.J.""]"
5227,20W,"[""Kaback, H.R.""]"
1669,20W,"[""Eisenberg, D.S.""]"
3458,20W,"[""Colwell, C.S.""]"
3740,20W,"[""Quon, S.""]"
2635284,20W,"[""Miceli, M.C.""]"
2222,20W,"[""Herman, R.R.""]"
3801,20W,"[""Cong, J.J.""]"
1294,20W,"[""Wen, P.J.""]"
629,20W,"[""Joo, J.""]"
1608,20W,"[""Koerner-Al-Rawi, J""]"
4266,20W,"[""Halperin, E.""]"
3798,20W,"[""Kadambi, A.""]"
2843,20W,"[""Wolf, S.M.""]"
3191,20W,"[""Baugh, D.A.""]"
3382,20W,"[""Gallien, T.""]"
1236,20W,"[""Zenios, S.""]"
81,20W,"[""Lee, N.""]"
74,20W,"[""Lochstoer, L.A.""]"
2563,20W,"[""Solorzano, D.G.""]"
3371,20W,"[""No instructors""]"
3158,20W,"[""Xu, H.""]"
5166,20W,"[""Long, J.A.""]"
3061,20W,"[""Buonomano, D."",""Kingsbury, L.E."",""Iacoboni, M."",""Feldman, J.L.""]"
5313,20W,"[""Araiza, J.E.""]"
1404,20W,"[""Santos, C.E.""]"
4311,20W,"[""Castel, A.D.""]"
2125272,20W,"[""Wickman, P.A.""]"
2825,20W,"[""Needleman, J."",""Snyder, D.L.""]"
601,20W,"[""No instructors""]"
2205,20W,"[""Kamei, D.T.""]"
93,20W,"[""Flanagan, K.M.""]"
3500313,20W,"[""Castel, A.D.""]"
4700,20W,"[""Everett, D.""]"
850,20W,"[""Freeman, S.F."",""Paparella, T.""]"
1980,20W,"[""Anderson, T.L.""]"
139,20W,"[""Neuhauser, D.""]"
5148,20W,"[""Hitchner, T.A.""]"
1287,20W,"[""No instructors""]"
2242018,20W,"[""Clark, A.T.""]"
3524,20W,"[""Mehta, A.M.""]"
3029,20W,"[""Adhikari, A.""]"
410,20W,"[""Mateu Martin, V.E.""]"
2279,20W,"[""Larison, B.J."",""Hongjamrassilp, W.""]"
4269,20W,"[""Witte, O.N.""]"
3631,20W,"[""No instructors""]"
2827,20W,"[""Holyoak, K."",""Gray, M.E.""]"
200,20W,"[""Guerin, J.""]"
2844,20W,"[""Weisburst, E.K."",""Danly, J.""]"
1225,20W,"[""Emigh, R.J."",""Liu, K.""]"
852,20W,"[""Morris, M.B.""]"
